,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸À²,BABIP,º¼³Ý%,»ïÁø%,º¼/»ï,ISO,Å¸¼ö/È¨·±,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA
65,2015,04,07,»ï¼º,1,37,0.258,0.318,13.5,24.3,0.56,0.129,31.00,0.738,5.22,5.87,4.32,4.37,0.36,0.334,-0.43
66,2015,04,07,NC,1,41,0.229,0.269,9.8,19.5,0.50,0.228,35.00,0.798,6.44,6.44,5.33,10.60,0.52,0.349,0.06
67,2015,04,07,µÎ»ê,1,35,0.294,0.400,2.9,25.7,0.11,0.088,-,0.696,3.15,3.15,3.42,1.73,0.19,0.313,-1.08
68,2015,04,07,KT,1,41,0.294,0.429,9.8,29.3,0.33,0.147,34.00,0.809,6.36,6.36,5.89,3.93,0.36,0.364,0.63
69,2015,04,07,LG,1,49,0.250,0.375,16.3,30.6,0.53,0.075,40.00,0.700,5.59,4.72,5.71,1.71,0.21,0.334,-0.58
70,2015,04,07,KIA,1,35,0.194,0.227,2.9,25.7,0.11,0.129,31.00,0.558,2.31,2.23,1.32,3.81,0.02,0.247,-3.18
71,2015,04,07,·Ôµ¥,1,32,0.138,0.167,9.4,31.2,0.30,0.138,29.00,0.495,1.37,1.37,0.60,-0.41,0.01,0.226,-3.52
72,2015,04,08,NC,1,51,0.368,0.367,13.7,9.8,1.40,0.316,12.67,1.194,14.07,14.07,14.32,5.39,0.05,0.514,7.76
73,2015,04,08,µÎ»ê,1,38,0.333,0.400,10.5,18.4,0.57,0.182,33.00,0.920,7.74,9.08,6.99,6.40,0.36,0.408,2.10
74,2015,04,08,SK,1,34,0.286,0.280,14.7,8.8,1.67,0.143,28.00,0.811,3.66,3.95,4.88,-2.77,0.03,0.364,0.51
75,2015,04,08,LG,1,36,0.250,0.333,5.6,27.8,0.20,0.156,32.00,0.700,3.77,3.77,3.41,4.29,0.19,0.310,-1.21
76,2015,04,08,»ï¼º,1,31,0.179,0.200,6.4,25.8,0.25,0.107,28.00,0.512,2.16,2.43,0.64,5.77,0.18,0.228,-3.34
77,2015,04,08,·Ôµ¥,1,37,0.258,0.400,5.4,35.1,0.15,0.000,-,0.564,3.08,3.08,2.04,2.43,0.36,0.266,-2.72
78,2015,04,08,Hero,1,40,0.250,0.348,15.0,22.5,0.67,0.094,-,0.729,4.50,4.50,5.13,4.46,0.20,0.347,-0.01
79,2015,04,08,ÇÑÈ­,1,36,0.241,0.318,11.1,19.4,0.57,0.104,-,0.678,3.28,3.28,3.65,6.69,0.19,0.317,-0.98
80,2015,04,08,KIA,1,41,0.156,0.167,14.6,17.1,0.86,0.094,32.00,0.591,3.71,3.71,3.53,5.75,0.20,0.300,-1.74
81,2015,04,08,KT,1,34,0.156,0.238,5.9,32.4,0.18,0.032,-,0.394,1.45,1.45,-0.54,3.98,0.18,0.188,-4.91
82,2015,04,09,SK,1,47,0.410,0.500,17.0,21.3,0.80,0.308,13.00,1.229,14.72,16.56,13.63,2.66,0.05,0.525,7.59
