,연도,팀명,경기,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
59,2006,KIA,59.0,40.0,4.0,1550.0,607.0,67.0,0.982,1.0,35.0,15.0,30.0
60,2007,키움,63.0,46.0,9.0,1670.0,675.0,70.0,0.981,4.0,40.0,14.0,25.9
61,2007,LG,61.0,36.0,4.0,1645.0,611.0,61.0,0.984,5.0,35.0,18.0,34.0
62,2007,삼성,62.0,41.0,4.0,1635.0,573.0,61.0,0.982,1.0,27.0,15.0,35.7
63,2007,두산,61.0,39.0,4.0,1634.0,543.0,55.0,0.982,2.0,30.0,9.0,23.1
64,2007,SK,62.0,46.0,2.0,1630.0,570.0,59.0,0.98,1.0,66.0,22.0,25.0
65,2007,NC,60.0,28.0,5.0,1626.0,550.0,55.0,0.987,1.0,15.0,17.0,53.1
66,2007,KT,61.0,42.0,4.0,1624.0,631.0,61.0,0.982,8.0,24.0,9.0,27.3
67,2007,한화,62.0,53.0,2.0,1621.0,560.0,55.0,0.976,5.0,54.0,22.0,28.9
68,2007,롯데,59.0,31.0,0.0,1594.0,616.0,58.0,0.986,4.0,39.0,13.0,25.0
69,2007,KIA,59.0,40.0,4.0,1550.0,607.0,67.0,0.982,1.0,35.0,15.0,30.0
70,2008,키움,63.0,46.0,9.0,1670.0,675.0,70.0,0.981,4.0,40.0,14.0,25.9
71,2008,LG,61.0,36.0,4.0,1645.0,611.0,61.0,0.984,5.0,35.0,18.0,34.0
72,2008,삼성,62.0,41.0,4.0,1635.0,573.0,61.0,0.982,1.0,27.0,15.0,35.7
73,2008,두산,61.0,39.0,4.0,1634.0,543.0,55.0,0.982,2.0,30.0,9.0,23.1
74,2008,SK,62.0,46.0,2.0,1630.0,570.0,59.0,0.98,1.0,66.0,22.0,25.0
75,2008,NC,60.0,28.0,5.0,1626.0,550.0,55.0,0.987,1.0,15.0,17.0,53.1
76,2008,KT,61.0,42.0,4.0,1624.0,631.0,61.0,0.982,8.0,24.0,9.0,27.3
77,2008,한화,62.0,53.0,2.0,1621.0,560.0,55.0,0.976,5.0,54.0,22.0,28.9
78,2008,롯데,59.0,31.0,0.0,1594.0,616.0,58.0,0.986,4.0,39.0,13.0,25.0
79,2008,KIA,59.0,40.0,4.0,1550.0,607.0,67.0,0.982,1.0,35.0,15.0,30.0
80,2009,키움,63.0,46.0,9.0,1670.0,675.0,70.0,0.981,4.0,40.0,14.0,25.9
81,2009,LG,61.0,36.0,4.0,1645.0,611.0,61.0,0.984,5.0,35.0,18.0,34.0
82,2009,삼성,62.0,41.0,4.0,1635.0,573.0,61.0,0.982,1.0,27.0,15.0,35.7
83,2009,두산,61.0,39.0,4.0,1634.0,543.0,55.0,0.982,2.0,30.0,9.0,23.1
